"participant","year","signature","ratification","accession","succession","cat_ratify"
"Afghanistan",1981,0,0,0,0,0
"Afghanistan",1982,0,0,0,0,0
"Afghanistan",1983,0,0,0,0,0
"Afghanistan",1984,0,0,0,0,0
"Afghanistan",1985,1,0,0,0,0
"Afghanistan",1986,1,0,0,0,0
"Afghanistan",1987,1,1,0,0,1
"Afghanistan",1988,1,1,0,0,1
"Afghanistan",1989,1,1,0,0,1
"Afghanistan",1990,1,1,0,0,1
"Afghanistan",1991,1,1,0,0,1
"Afghanistan",1992,1,1,0,0,1
"Afghanistan",1993,1,1,0,0,1
"Afghanistan",1994,1,1,0,0,1
"Afghanistan",1995,1,1,0,0,1
"Afghanistan",1996,1,1,0,0,1
"Afghanistan",1997,1,1,0,0,1
"Afghanistan",1998,1,1,0,0,1
"Afghanistan",1999,1,1,0,0,1
"Albania",1981,0,0,0,0,0
"Albania",1982,0,0,0,0,0
"Albania",1983,0,0,0,0,0
"Albania",1984,0,0,0,0,0
"Albania",1985,0,0,0,0,0
"Albania",1986,0,0,0,0,0
"Albania",1987,0,0,0,0,0
"Albania",1988,0,0,0,0,0
"Albania",1989,0,0,0,0,0
"Albania",1990,0,0,0,0,0
"Albania",1991,0,0,0,0,0
"Albania",1992,0,0,0,0,0
"Albania",1993,0,0,0,0,0
"Albania",1994,0,0,1,0,1
"Albania",1995,0,0,1,0,1
"Albania",1996,0,0,1,0,1
"Albania",1997,0,0,1,0,1
"Albania",1998,0,0,1,0,1
"Albania",1999,0,0,1,0,1
"Algeria",1981,0,0,0,0,0
"Algeria",1982,0,0,0,0,0
"Algeria",1983,0,0,0,0,0
"Algeria",1984,0,0,0,0,0
"Algeria",1985,1,0,0,0,0
"Algeria",1986,1,0,0,0,0
"Algeria",1987,1,0,0,0,0
"Algeria",1988,1,0,0,0,0
"Algeria",1989,1,1,0,0,1
"Algeria",1990,1,1,0,0,1
"Algeria",1991,1,1,0,0,1
"Algeria",1992,1,1,0,0,1
"Algeria",1993,1,1,0,0,1
"Algeria",1994,1,1,0,0,1
"Algeria",1995,1,1,0,0,1
"Algeria",1996,1,1,0,0,1
"Algeria",1997,1,1,0,0,1
"Algeria",1998,1,1,0,0,1
"Algeria",1999,1,1,0,0,1
"Andorra",1981,0,0,0,0,0
"Andorra",1982,0,0,0,0,0
"Andorra",1983,0,0,0,0,0
"Andorra",1984,0,0,0,0,0
"Andorra",1985,0,0,0,0,0
"Andorra",1986,0,0,0,0,0
"Andorra",1987,0,0,0,0,0
"Andorra",1988,0,0,0,0,0
"Andorra",1989,0,0,0,0,0
"Andorra",1990,0,0,0,0,0
"Andorra",1991,0,0,0,0,0
"Andorra",1992,0,0,0,0,0
"Andorra",1993,0,0,0,0,0
"Andorra",1994,0,0,0,0,0
"Andorra",1995,0,0,0,0,0
"Andorra",1996,0,0,0,0,0
"Andorra",1997,0,0,0,0,0
"Andorra",1998,0,0,0,0,0
"Andorra",1999,0,0,0,0,0
"Angola",1981,0,0,0,0,0
"Angola",1982,0,0,0,0,0
"Angola",1983,0,0,0,0,0
"Angola",1984,0,0,0,0,0
"Angola",1985,0,0,0,0,0
"Angola",1986,0,0,0,0,0
"Angola",1987,0,0,0,0,0
"Angola",1988,0,0,0,0,0
"Angola",1989,0,0,0,0,0
"Angola",1990,0,0,0,0,0
"Angola",1991,0,0,0,0,0
"Angola",1992,0,0,0,0,0
"Angola",1993,0,0,0,0,0
"Angola",1994,0,0,0,0,0
"Angola",1995,0,0,0,0,0
"Angola",1996,0,0,0,0,0
"Angola",1997,0,0,0,0,0
"Angola",1998,0,0,0,0,0
"Angola",1999,0,0,0,0,0
"Antigua and Barbuda",1981,0,0,0,0,0
"Antigua and Barbuda",1982,0,0,0,0,0
"Antigua and Barbuda",1983,0,0,0,0,0
"Antigua and Barbuda",1984,0,0,0,0,0
"Antigua and Barbuda",1985,0,0,0,0,0
"Antigua and Barbuda",1986,0,0,0,0,0
"Antigua and Barbuda",1987,0,0,0,0,0
"Antigua and Barbuda",1988,0,0,0,0,0
"Antigua and Barbuda",1989,0,0,0,0,0
"Antigua and Barbuda",1990,0,0,0,0,0
"Antigua and Barbuda",1991,0,0,0,0,0
"Antigua and Barbuda",1992,0,0,0,0,0
"Antigua and Barbuda",1993,0,0,1,0,1
"Antigua and Barbuda",1994,0,0,1,0,1
"Antigua and Barbuda",1995,0,0,1,0,1
"Antigua and Barbuda",1996,0,0,1,0,1
"Antigua and Barbuda",1997,0,0,1,0,1
"Antigua and Barbuda",1998,0,0,1,0,1
"Antigua and Barbuda",1999,0,0,1,0,1
"Argentina",1981,0,0,0,0,0
"Argentina",1982,0,0,0,0,0
"Argentina",1983,0,0,0,0,0
"Argentina",1984,0,0,0,0,0
"Argentina",1985,1,0,0,0,0
"Argentina",1986,1,1,0,0,1
"Argentina",1987,1,1,0,0,1
"Argentina",1988,1,1,0,0,1
"Argentina",1989,1,1,0,0,1
"Argentina",1990,1,1,0,0,1
"Argentina",1991,1,1,0,0,1
"Argentina",1992,1,1,0,0,1
"Argentina",1993,1,1,0,0,1
"Argentina",1994,1,1,0,0,1
"Argentina",1995,1,1,0,0,1
"Argentina",1996,1,1,0,0,1
"Argentina",1997,1,1,0,0,1
"Argentina",1998,1,1,0,0,1
