,country,sig_date,asr_date
0,Afghanistan,4 Feb	 1985,1 Apr	 1987
1,Albania,,11 May	 1994 a
2,Algeria,26 Nov	 1985,12 Sep	 1989
3,Andorra,5 Aug	 2002,22 Sep	 2006
4,Antigua and Barbuda,,19 Jul	 1993 a
5,Argentina,4 Feb	 1985,24 Sep	 1986
6,Armenia,,13 Sep	 1993 a
7,Australia,10 Dec	 1985,8 Aug	 1989
8,Austria,14 Mar	 1985,29 Jul	 1987
9,Azerbaijan,,16 Aug	 1996 a
10,Bahamas,16 Dec	 2008,
11,Bahrain,,6 Mar	 1998 a
12,Bangladesh,,5 Oct	 1998 a
13,Belarus,19 Dec	 1985,13 Mar	 1987
14,Belgium,4 Feb	 1985,25 Jun	 1999
15,Belize,,17 Mar	 1986 a
16,Benin,,12 Mar	 1992 a
17,Bolivia (Plurinational State of),4 Feb	 1985,12 Apr	 1999
18,Bosnia and Herzegovina4,,1 Sep	 1993 d
19,Botswana,8 Sep	 2000,8 Sep	 2000
20,Brazil,23 Sep	 1985,28 Sep	 1989
21,Bulgaria,10 Jun	 1986,16 Dec	 1986
22,Burkina Faso,,4 Jan	 1999 a
23,Burundi,,18 Feb	 1993 a
24,Cambodia,,15 Oct	 1992 a
25,Cameroon,,19 Dec	 1986 a
26,Canada,23 Aug	 1985,24 Jun	 1987
27,Cape Verde,,4 Jun	 1992 a
28,Chad,,9 Jun	 1995 a
29,Chile,23 Sep	 1987,30 Sep	 1988
30,"China5,6",12 Dec	 1986,4 Oct	 1988
31,Colombia,10 Apr	 1985,8 Dec	 1987
32,Comoros,22 Sep	 2000,
33,Congo,,30 Jul	 2003 a
34,Costa Rica,4 Feb	 1985,11 Nov	 1993
35,Cte d'Ivoire,,18 Dec	 1995 a
36,Croatia4,,12 Oct	 1992 d
37,Cuba,27 Jan	 1986,17 May	 1995
38,Cyprus,9 Oct	 1985,18 Jul	 1991
39,Czech Republic7,,22 Feb	 1993 d
40,Democratic Republic of the Congo,,18 Mar	 1996 a
41,Denmark,4 Feb	 1985,27 May	 1987
42,Djibouti,,5 Nov	 2002 a
43,Dominican Republic,4 Feb	 1985,24 Jan	 2012
44,Ecuador,4 Feb	 1985,30 Mar	 1988
45,Egypt,,25 Jun	 1986 a
46,El Salvador,,17 Jun	 1996 a
47,Equatorial Guinea,,8 Oct	 2002 a
48,Estonia,,21 Oct	 1991 a
49,Ethiopia,,14 Mar	 1994 a
50,Finland,4 Feb	 1985,30 Aug	 1989
51,France,4 Feb	 1985,18 Feb	 1986
52,Gabon,21 Jan	 1986,8 Sep	 2000
53,Gambia,23 Oct	 1985,
54,Georgia,,26 Oct	 1994 a
55,"Germany3,8",13 Oct	 1986,1 Oct	 1990
56,Ghana,7 Sep	 2000,7 Sep	 2000
57,Greece8,4 Feb	 1985,6 Oct	 1988
58,Guatemala,,5 Jan	 1990 a
59,Guinea,30 May	 1986,10 Oct	 1989
60,Guinea-Bissau,12 Sep	 2000,
61,Guyana,25 Jan	 1988,19 May	 1988
62,Holy See,,26 Jun	 2002 a
63,Honduras,,5 Dec	 1996 a
64,Hungary,28 Nov	 1986,15 Apr	 1987
65,Iceland,4 Feb	 1985,23 Oct	 1996
66,India,14 Oct	 1997,
67,Indonesia,23 Oct	 1985,28 Oct	 1998
68,Iraq,,7 Jul	 2011 a
69,Ireland,28 Sep	 1992,11 Apr	 2002
70,Israel,22 Oct	 1986,3 Oct	 1991
71,Italy,4 Feb	 1985,12 Jan	 1989
72,Japan,,29 Jun	 1999 a
73,Jordan,,13 Nov	 1991 a
74,Kazakhstan,,26 Aug	 1998 a
75,Kenya,,21 Feb	 1997 a
76,Kuwait,,8 Mar	 1996 a
77,Kyrgyzstan,,5 Sep	 1997 a
78,Lao People's Democratic Republic,21 Sep	 2010,26 Sep	 2012
79,Latvia,,14 Apr	 1992 a
80,Lebanon,,5 Oct	 2000 a
81,Lesotho,,12 Nov	 2001 a
82,Liberia,,22 Sep	 2004 a
83,Libya,,16 May	 1989 a
84,Liechtenstein,27 Jun	 1985,2 Nov	 1990
85,Lithuania,,1 Feb	 1996 a
86,Luxembourg,22 Feb	 1985,29 Sep	 1987
87,Madagascar,1 Oct	 2001,13 Dec	 2005
88,Malawi,,11 Jun	 1996 a
89,Maldives,,20 Apr	 2004 a
90,Mali,,26 Feb	 1999 a
91,Malta,,13 Sep	 1990 a
92,Mauritania,,17 Nov	 2004 a
93,Mauritius,,9 Dec	 1992 a
94,Mexico,18 Mar	 1985,23 Jan	 1986
95,Monaco,,6 Dec	 1991 a
96,Mongolia,,24 Jan	 2002 a
97,Montenegro9,,23 Oct	 2006 d
98,Morocco,8 Jan	 1986,21 Jun	 1993
99,Mozambique,,14 Sep	 1999 a
100,Namibia,,28 Nov	 1994 a
101,Nauru,12 Nov	 2001,26 Sep	 2012
102,Nepal,,14 May	 1991 a
103,Netherlands10,4 Feb	 1985,21 Dec	 1988
104,New Zealand,14 Jan	 1986,10 Dec	 1989
105,Nicaragua,15 Apr	 1985,5 Jul	 2005
106,Niger,,5 Oct	 1998 a
107,Nigeria,28 Jul	 1988,28 Jun	 2001
108,Norway,4 Feb	 1985,9 Jul	 1986
