YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
1981,700,0,0,0,0,0,0
1982,700,0,0,0,0,0,0
1983,700,0,0,0,0,0,0
1984,700,0,0,0,0,0,0
1985,700,0,0,0,0,0,0
1986,700,0,0,0,0,0,0
1987,700,0,0,0,0,0,0
1988,700,0,0,0,0,0,0
1989,700,0,0,0,0,0,0
1990,700,0,0,0,0,0,0
1991,700,1,0,0,0,1,0
1992,700,,-77,-77,-77,-77,-77
1993,700,,-77,-77,-77,-77,-77
1994,700,,-77,-77,-77,-77,-77
1995,700,,-77,-77,-77,-77,-77
1996,700,0,0,0,0,0,0
1997,700,0,0,0,0,0,0
1998,700,0,0,0,0,0,0
1999,700,0,0,0,0,0,0
2000,700,0,0,0,0,0,0
2001,700,0,0,0,0,0,0
2002,700,3,1,1,0,1,0
2003,700,,-66,-66,-66,-66,-66
2004,700,,-66,-66,-66,-66,-66
2005,700,4,2,1,1,0,0
2006,700,4,2,1,1,0,0
2007,700,4,2,1,1,0,0
2008,700,3,2,0,1,0,0
2009,700,4,2,1,1,0,0
2010,700,3,2,0,1,0,0
1981,339,1,1,0,0,0,0
1982,339,2,2,0,0,0,0
1983,339,2,2,0,0,0,0
1984,339,1,1,0,0,0,0
1985,339,,2,-999,0,0,0
1986,339,,2,-999,0,0,0
1987,339,,2,-999,0,1,0
1988,339,,2,-999,0,0,0
1989,339,,2,-999,0,0,0
1990,339,3,2,1,0,0,1
1991,339,4,2,1,0,1,2
1992,339,6,2,2,1,1,1
1993,339,6,2,2,1,1,1
1994,339,7,2,2,2,1,2
1995,339,4,2,0,1,1,1
1996,339,4,2,1,1,0,1
1997,339,4,2,1,1,0,1
1998,339,5,2,1,1,1,1
1999,339,5,2,1,2,0,1
2000,339,3,2,1,0,0,1
2001,339,6,2,2,2,0,1
2002,339,6,2,2,2,0,1
2003,339,5,2,1,2,0,1
2004,339,6,2,1,2,1,1
2005,339,7,2,2,2,1,1
2006,339,6,2,2,2,0,0
2007,339,7,2,2,2,1,0
2008,339,7,2,2,2,1,0
2009,339,7,2,2,2,1,0
2010,339,7,2,2,2,1,0
1981,615,7,2,1,2,2,1
1982,615,8,2,2,2,2,2
1983,615,7,2,2,2,1,2
1984,615,5,2,1,1,1,1
1985,615,7,2,2,1,2,2
1986,615,6,2,2,1,1,2
1987,615,5,2,1,1,1,1
1988,615,4,2,2,0,0,2
1989,615,5,2,2,1,0,2
1990,615,5,2,1,1,1,1
1991,615,4,1,2,0,1,1
1992,615,2,2,0,0,0,1
1993,615,2,2,0,0,0,1
1994,615,2,2,0,0,0,1
1995,615,0,0,0,0,0,1
1996,615,3,1,1,1,0,1
1997,615,0,0,0,0,0,1
1998,615,4,1,1,1,1,1
1999,615,0,0,0,0,0,1
2000,615,4,1,1,1,1,1
2001,615,4,2,1,1,0,1
2002,615,2,1,1,0,0,1
2003,615,1,1,0,0,0,1
2004,615,5,2,1,1,1,1
2005,615,5,2,1,1,1,0
2006,615,1,1,0,0,0,0
2007,615,4,2,1,1,0,0
2008,615,5,2,1,1,1,1
2009,615,6,2,2,1,1,1
2010,615,5,2,1,1,1,1
1981,232,,,,,,-999
1982,232,,,,,,-999
1983,232,,,,,,-999
1984,232,,,,,,-999
1985,232,,,,,,-999
