Country,Year,COW,CIRI,SPEECHLCK,ASSOCIATIONLCK,ASSEMBLYLCK,PRESSLCK,RELIGIONLCK,STRIKELCK,HABEASLCK,PUBLICTRIALLCK,FAIRTRIALLCK,TORTURELCK
Afghanistan,1979,700,101,.,.,.,.,.,.,.,.,.,.
Albania,1979,339,104,0,0,0,0,0,0,0,1,0,0
Algeria,1979,615,107,0,1,0,0,1,1,0,0,0,0
Angola,1979,540,113,.,.,.,.,.,.,.,.,.,.
Argentina,1979,160,119,0,1,0,1,1,2,0,0,0,2
Australia,1979,900,125,0,0,0,0,0,0,0,0,0,0
Austria,1979,305,128,.,.,.,.,.,.,.,.,.,.
Bahamas,1979,31,134,1,1,1,0,1,0,2,1,2,2
Bahrain,1979,692,137,1,1,1,1,0,0,0,0,0,2
Bangladesh,1979,771,140,1,1,1,1,1,0,1,1,1,0
Barbados,1979,53,143,1,1,1,0,1,0,1,1,2,2
Belgium,1979,211,149,1,2,1,2,1,0,0,1,0,0
Benin,1979,434,155,0,0,0,0,0,0,0,0,0,0
Bhutan,1979,760,158,0,0,0,0,0,0,0,0,0,0
Bolivia,1979,145,161,1,1,1,0,0,0,2,2,0,2
Botswana,1979,571,167,1,1,1,0,1,0,2,0,2,2
Brazil,1979,140,170,.,.,.,.,.,.,.,.,.,.
Bulgaria,1979,355,176,1,1,1,1,1,0,0,1,0,0
Burkina Faso,1979,439,179,.,.,.,.,.,.,.,.,.,.
Myanmar,1979,775,182,1,1,1,1,1,0,2,0,0,0
Burundi,1979,516,185,0,0,0,0,0,0,0,0,0,0
Cambodia,1979,811,188,0,0,0,0,0,0,0,0,0,0
Cameroon,1979,471,191,1,1,1,1,1,0,0,0,1,0
Canada,1979,20,194,0,0,0,0,0,0,0,0,0,0
Cape Verde Islands,1979,402,197,0,0,0,0,0,0,0,0,0,0
Central African Republic,1979,482,200,.,.,.,.,.,.,.,.,.,.
Chad,1979,483,203,0,0,0,0,0,0,0,0,0,0
Chile,1979,155,206,.,.,.,.,.,.,.,.,.,.
China,1979,710,209,1,1,1,1,1,1,0,1,0,0
Colombia,1979,100,212,0,0,1,0,0,1,2,0,0,0
Comoros,1979,581,215,1,1,1,1,0,1,0,1,0,2
Congo Kinshasa,1979,490,218,1,1,0,0,1,1,0,1,0,1
Congo Brazzaville,1979,484,221,0,0,0,0,0,0,0,0,0,0
Costa Rica,1979,94,224,1,1,1,0,1,1,2,0,0,0
Cote d'Ivoire,1979,437,227,0,0,0,0,0,0,0,0,0,0
Cuba,1979,40,233,1,1,0,1,0,0,0,0,0,0
Cyprus,1979,352,236,1,1,1,1,1,1,2,1,2,2
Czechoslovakia,1979,315,242,0,0,0,0,0,0,0,0,0,0
Denmark,1979,390,245,1,1,1,1,0,0,1,2,0,0
Djibouti,1979,522,248,0,0,0,0,0,0,0,0,0,0
Dominica,1979,56,251,1,1,1,0,1,0,2,0,0,2
Dominican Republic,1979,42,254,1,1,0,1,1,1,1,1,1,1
Ecuador,1979,130,260,.,.,.,.,.,.,.,.,.,.
Egypt,1979,651,263,1,1,1,1,1,0,0,1,0,0
El Salvador,1979,92,266,1,1,1,0,1,1,2,0,0,0
Equatorial Guinea,1979,411,269,1,1,1,0,1,0,1,1,0,1
Ethiopia,1979,530,278,0,0,0,0,0,0,0,0,0,0
Fiji,1979,950,281,1,1,1,0,1,0,1,1,1,1
Finland,1979,375,284,1,1,1,1,2,0,0,0,0,0
France,1979,220,287,0,0,0,0,0,0,0,0,0,0
Gabon,1979,481,290,0,1,0,0,1,0,0,0,0,0
Gambia,1979,420,293,1,1,1,0,1,0,1,1,1,1
Germany,1979,255,299,1,1,1,1,2,0,2,0,0,0
Ghana,1979,452,302,0,0,0,0,0,0,0,0,0,0
Greece,1979,350,305,1,1,1,0,1,1,2,1,0,2
Grenada,1979,55,308,0,0,0,0,0,0,0,0,0,0
Guatemala,1979,90,311,1,0,1,0,1,1,1,1,0,1
Guinea,1979,438,314,1,1,1,1,0,1,0,0,0,0
Guinea-Bissau,1979,404,317,1,1,1,1,1,0,0,0,0,0
Guyana,1979,110,320,1,1,1,0,1,0,2,1,1,2
Haiti,1979,41,323,1,1,0,0,1,0,2,1,0,2
Honduras,1979,91,326,2,1,2,2,1,0,2,0,0,2
Hungary,1979,310,329,0,0,0,0,0,0,0,0,0,0
Iceland,1979,395,332,1,1,1,1,1,0,2,0,0,0
India,1979,750,335,1,1,1,0,1,0,0,0,0,0
Indonesia,1979,850,338,1,0,1,1,1,0,0,0,0,0
Iran,1979,630,341,0,0,0,0,0,0,0,1,0,0
Iraq,1979,645,344,0,0,0,0,1,0,0,0,0,2
Ireland,1979,205,347,1,0,1,0,1,0,2,1,0,0
Israel,1979,666,350,0,0,0,0,0,0,0,0,0,0
Italy,1979,325,353,1,1,1,1,1,1,0,0,0,0
Jamaica,1979,51,356,1,1,1,0,1,0,1,1,1,1
Japan,1979,740,359,1,1,1,1,1,0,1,1,1,2
Jordan,1979,663,362,0,0,0,0,0,0,0,1,0,0
Kenya,1979,501,368,1,1,1,0,1,0,1,1,1,1
"Korea, North",1979,731,374,.,.,.,.,.,.,.,.,.,.
"Korea, South",1979,732,377,1,1,1,1,1,0,0,1,0,1
Kuwait,1979,690,380,1,1,1,1,0,0,0,1,0,1
Laos,1979,812,386,0,0,0,0,0,0,0,0,0,0
Lebanon,1979,660,392,0,0,0,0,1,0,0,0,0,0
Lesotho,1979,570,395,0,0,0,0,0,0,0,0,0,0
Liberia,1979,450,398,1,0,1,2,1,0,0,2,2,0
Libya,1979,620,401,0,0,0,0,0,0,0,0,0,0
Luxembourg,1979,212,410,1,0,1,1,1,0,0,1,0,0
Madagascar,1979,580,416,0,0,0,0,0,0,0,0,0,0
Malawi,1979,553,419,0,0,0,0,0,0,0,0,0,0
Malaysia,1979,820,422,0,0,0,0,0,0,0,0,0,0
Maldives,1979,781,425,0,0,0,0,0,0,0,0,0,0
Mali,1979,432,428,0,0,0,0,0,0,0,0,0,0
Malta,1979,338,431,1,1,1,0,1,0,1,1,1,0
Mauritania,1979,435,437,0,0,0,0,0,0,0,0,0,0
Mauritius,1979,590,440,1,1,1,0,1,0,1,1,1,1
Mexico,1979,70,443,1,1,1,1,1,0,1,2,0,2
Mongolia,1979,712,455,1,1,1,1,0,0,0,1,0,0
Morocco,1979,600,461,1,1,1,0,2,1,0,0,0,0
Mozambique,1979,541,464,0,0,0,0,0,0,0,0,0,0
Nepal,1979,790,473,1,1,1,0,1,0,1,0,0,0
Netherlands,1979,210,476,.,.,.,.,.,.,.,.,.,.
New Zealand,1979,920,479,0,0,0,0,0,0,0,0,0,0
Nicaragua,1979,93,482,0,0,0,0,0,0,0,0,0,0
Niger,1979,436,485,0,0,0,0,0,0,0,0,0,0
Nigeria,1979,475,488,1,1,1,0,1,0,1,1,1,2
Norway,1979,385,491,2,0,0,1,0,0,0,0,0,2
Oman,1979,698,494,0,0,0,0,0,0,0,0,0,0
Pakistan,1979,770,497,1,1,1,1,1,0,1,0,0,2
Panama,1979,95,503,1,1,1,0,1,1,2,2,0,0
Papua New Guinea,1979,910,506,1,1,1,1,1,0,0,0,1,1
