"YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","additive","latentmean","latentsd"
1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,-1.38098262083418,0.300547333942008
1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,-1.44056715623687,0.274649377813642
1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,-1.47659229832128,0.265963013447696
1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,-1.50500598714741,0.262035145981655
1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,-1.53740104865153,0.261233995449725
1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,-1.51471234982794,0.261935165746118
1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,-1.49705037989174,0.260700180974838
1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.47608059321465,0.256123223257745
1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.46631854391295,0.255664018306253
1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.46169367141337,0.254617786483986
1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.45748147405726,0.253402965828666
1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.45399793347683,0.253705716122354
1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.45391602206088,0.25383554283216
1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.45273021607724,0.254168317655693
1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.45011343178353,0.254451346303181
1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.44381353713971,0.254595005407683
1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.43468459042611,0.255776915861152
1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.41663699280945,0.257340233839241
1967,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.3828179658194,0.258797643499839
1968,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.31619717687985,0.260807479358634
1969,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.190930200382,0.268305855198861
1970,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-0.959957381466259,0.285974661287716
1971,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,-0.538038856418404,0.324143562150487
1972,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,-0.169684662112357,0.36628795651369
1973,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.178864651252445,0.397174083857549
1974,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.520637053816849,0.41104466092102
1975,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.856559784588524,0.408631075129697
1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,1.19343269418278,0.388252346049577
1977,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,1.48422827778424,0.375135048276408
1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,1.69209566341647,0.377940721979122
1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,1.85910832622162,0.381218666397613
1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,NA,NA,2.00294397323753,0.371353247172855
1981,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,8,2.09063723698037,0.365070104798715
1982,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,0,NA,8,2.11764759241704,0.359613443875164
1983,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,8,2.09299667651559,0.348725239031699
1984,662,2,2,2,2,2,1,NA,NA,NA,0,0,0,NA,NA,8,2.00212836408717,0.336977449931028
1985,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,7,1.81328587586661,0.326204887501754
1986,662,2,2,2,2,1,1,NA,NA,NA,0,0,0,NA,NA,7,1.68152285787719,0.313236535236711
