"ccode","year","from","cname"
2,1980,"a_cbook","United States"
2,2000,"a_cbook","United States"
2,2001,"a_cbook","United States"
2,2002,"a_cbook","United States"
2,2003,"a_cbook","United States"
2,2004,"a_cbook","United States"
6,1981,"mdavis",NA
6,1982,"oil,mdavis",NA
6,1983,"mdavis",NA
6,1984,"mdavis",NA
6,1985,"oil,mdavis",NA
6,1986,"mdavis",NA
6,1987,"mdavis",NA
6,1988,"oil,mdavis",NA
6,1989,"mdavis",NA
6,1990,"mdavis",NA
6,1991,"mdavis",NA
6,1992,"mdavis",NA
6,1993,"mdavis",NA
6,1994,"mdavis",NA
6,1995,"mdavis",NA
6,1996,"mdavis",NA
6,1997,"oil,mdavis",NA
6,1998,"mdavis",NA
6,1999,"mdavis",NA
20,1980,"a_cbook","Canada"
20,2000,"a_cbook","Canada"
20,2001,"a_cbook","Canada"
20,2002,"a_cbook","Canada"
20,2003,"a_cbook","Canada"
20,2004,"a_cbook","Canada"
31,1980,"a_cbook","Bahamas"
31,2000,"a_cbook","Bahamas"
31,2001,"a_cbook","Bahamas"
31,2002,"a_cbook","Bahamas"
31,2003,"a_cbook","Bahamas"
31,2004,"a_cbook","Bahamas"
40,1980,"a_cbook","Cuba"
40,2000,"a_cbook","Cuba"
40,2001,"a_cbook","Cuba"
40,2002,"a_cbook","Cuba"
40,2003,"a_cbook","Cuba"
40,2004,"a_cbook","Cuba"
41,1980,"a_cbook","Haiti"
41,2000,"a_cbook","Haiti"
41,2001,"a_cbook","Haiti"
41,2002,"a_cbook","Haiti"
41,2003,"a_cbook","Haiti"
41,2004,"a_cbook","Haiti"
42,1980,"a_cbook","Dominican Republic"
42,2000,"a_cbook","Dominican Republic"
42,2001,"a_cbook","Dominican Republic"
42,2002,"a_cbook","Dominican Republic"
42,2003,"a_cbook","Dominican Republic"
42,2004,"a_cbook","Dominican Republic"
50,1981,"oil",NA
51,1980,"a_cbook","Jamaica"
51,2000,"a_cbook","Jamaica"
51,2001,"a_cbook","Jamaica"
51,2002,"a_cbook","Jamaica"
51,2003,"a_cbook","Jamaica"
51,2004,"a_cbook","Jamaica"
52,1980,"a_cbook","Trinidad And Tobago"
52,2000,"a_cbook","Trinidad And Tobago"
52,2001,"a_cbook","Trinidad And Tobago"
52,2002,"a_cbook","Trinidad And Tobago"
52,2003,"a_cbook","Trinidad And Tobago"
52,2004,"a_cbook","Trinidad And Tobago"
53,1980,"a_cbook","Barbados"
53,2000,"a_cbook","Barbados"
53,2001,"a_cbook","Barbados"
53,2002,"a_cbook","Barbados"
53,2003,"a_cbook","Barbados"
53,2004,"a_cbook","Barbados"
54,1980,"a_cbook","Dominica"
54,2000,"a_cbook","Dominica"
54,2001,"a_cbook","Dominica"
54,2002,"a_cbook","Dominica"
54,2003,"a_cbook","Dominica"
54,2004,"a_cbook","Dominica"
55,1980,"a_cbook","Grenada"
55,2000,"a_cbook","Grenada"
55,2001,"a_cbook","Grenada"
55,2002,"a_cbook","Grenada"
55,2003,"a_cbook","Grenada"
55,2004,"a_cbook","Grenada"
56,1980,"a_cbook","Saint Lucia"
56,2000,"a_cbook","Saint Lucia"
56,2001,"a_cbook","Saint Lucia"
56,2002,"a_cbook","Saint Lucia"
56,2003,"a_cbook","Saint Lucia"
56,2004,"a_cbook","Saint Lucia"
57,1980,"a_cbook","Saint Vincent And The Grenadines"
57,2000,"a_cbook","Saint Vincent And The Grenadines"
57,2001,"a_cbook","Saint Vincent And The Grenadines"
57,2002,"a_cbook","Saint Vincent And The Grenadines"
57,2003,"a_cbook","Saint Vincent And The Grenadines"
57,2004,"a_cbook","Saint Vincent And The Grenadines"
58,2000,"a_cbook","Antigua And Barbuda"
58,2001,"a_cbook","Antigua And Barbuda"
58,2002,"a_cbook","Antigua And Barbuda"
58,2003,"a_cbook","Antigua And Barbuda"
58,2004,"a_cbook","Antigua And Barbuda"
59,1981,"civ_libs,soe_jud,mdavis",NA
59,1982,"civ_libs,soe_jud,mdavis",NA
59,1983,"civ_libs,soe_jud,mdavis",NA
59,1984,"civ_libs,soe_jud,mdavis",NA
59,1985,"civ_libs,soe_jud,mdavis",NA
59,1986,"civ_libs,soe_jud,mdavis",NA
59,1987,"civ_libs,soe_jud,mdavis",NA
59,1988,"civ_libs,soe_jud,mdavis",NA
59,1989,"civ_libs,soe_jud,mdavis",NA
59,1990,"civ_libs,soe_jud,mdavis",NA
