country	year	INGO_uia
United States	1966	847
United States	1977	1106
United States	1978	1106
United States	1979	1106
United States	1980	1106
United States	1981	1106
United States	1982	1505
United States	1983	1528
United States	1984	1593
United States	1985	1593
United States	1986	804
United States	1987	1579
United States	1988	1832
United States	1989	1933
United States	1990	2008
United States	1991	2051
United States	1992	2127
United States	1993	2226
United States	1994	2273
United States	1995	2327
United States	1996	2418
United States	1997	2490
United States	1998	2560
United States	1999	2648
Canada	1966	699
Canada	1977	980
Canada	1978	980
Canada	1979	980
Canada	1980	980
Canada	1981	980
Canada	1982	1341
Canada	1983	1366
Canada	1984	1427
Canada	1985	1427
Canada	1986	1306
Canada	1987	1527
Canada	1988	1658
Canada	1989	1746
Canada	1990	1807
Canada	1991	1838
Canada	1992	1920
Canada	1993	1981
Canada	1994	2043
Canada	1995	2070
Canada	1996	2116
Canada	1997	2182
Canada	1998	2236
Canada	1999	2300
Bahamas, The	1966	37
Bahamas, The	1977	98
Bahamas, The	1978	98
Bahamas, The	1979	98
Bahamas, The	1980	98
Bahamas, The	1981	98
Bahamas, The	1982	171
Bahamas, The	1983	173
Bahamas, The	1984	181
Bahamas, The	1985	181
Bahamas, The	1986	184
Bahamas, The	1987	216
Bahamas, The	1988	231
Bahamas, The	1989	239
Bahamas, The	1990	253
Bahamas, The	1991	248
Bahamas, The	1992	251
Bahamas, The	1993	252
Bahamas, The	1994	263
Bahamas, The	1995	260
Bahamas, The	1996	270
Bahamas, The	1997	268
Bahamas, The	1998	265
Bahamas, The	1999	263
Cuba	1966	229
Cuba	1977	254
Cuba	1978	254
Cuba	1979	254
Cuba	1980	254
Cuba	1981	254
Cuba	1982	322
Cuba	1983	329
Cuba	1984	333
Cuba	1985	333
Cuba	1986	328
Cuba	1987	367
Cuba	1988	390
Cuba	1989	405
Cuba	1990	433
Cuba	1991	449
Cuba	1992	477
Cuba	1993	494
Cuba	1994	516
Cuba	1995	517
Cuba	1996	552
Cuba	1997	584
Cuba	1998	612
Cuba	1999	645
Haiti	1966	114
Haiti	1977	133
Haiti	1978	133
Haiti	1979	133
Haiti	1980	133
Haiti	1981	133
Haiti	1982	205
Haiti	1983	211
Haiti	1984	223
Haiti	1985	223
Haiti	1986	227
Haiti	1987	240
Haiti	1988	253
Haiti	1989	266
Haiti	1990	271
Haiti	1991	280
Haiti	1992	274
Haiti	1993	283
Haiti	1994	287
Haiti	1995	287
Haiti	1996	295
Haiti	1997	297
Haiti	1998	301
Haiti	1999	299
Dominican Republic	1966	127
Dominican Republic	1977	211
Dominican Republic	1978	211
Dominican Republic	1979	211
Dominican Republic	1980	211
Dominican Republic	1981	211
Dominican Republic	1982	311
Dominican Republic	1983	327
Dominican Republic	1984	345
Dominican Republic	1985	345
Dominican Republic	1986	348
Dominican Republic	1987	372
Dominican Republic	1988	401
Dominican Republic	1989	432
Dominican Republic	1990	448
Dominican Republic	1991	450
Dominican Republic	1992	473
Dominican Republic	1993	481
Dominican Republic	1994	488
Dominican Republic	1995	483
Dominican Republic	1996	511
Dominican Republic	1997	506
Dominican Republic	1998	516
Dominican Republic	1999	512
Jamaica	1966	118
Jamaica	1977	240
Jamaica	1978	240
Jamaica	1979	240
Jamaica	1980	240
Jamaica	1981	240
Jamaica	1982	338
Jamaica	1983	355
Jamaica	1984	383
Jamaica	1985	383
Jamaica	1986	368
Jamaica	1987	407
Jamaica	1988	434
Jamaica	1989	446
Jamaica	1990	461
Jamaica	1991	462
Jamaica	1992	462
Jamaica	1993	478
Jamaica	1994	484
Jamaica	1995	482
Jamaica	1996	492
Jamaica	1997	488
Jamaica	1998	490
Jamaica	1999	489
Trinidad and Tobag	1966	0
Trinidad and Tobag	1977	176
Trinidad and Tobag	1978	176
Trinidad and Tobag	1979	176
Trinidad and Tobag	1980	176
Trinidad and Tobag	1981	176
Trinidad and Tobag	1982	262
Trinidad and Tobag	1983	271
Trinidad and Tobag	1984	297
Trinidad and Tobag	1985	297
Trinidad and Tobag	1986	302
Trinidad and Tobag	1987	336
Trinidad and Tobag	1988	367
Trinidad and Tobag	1989	398
Trinidad and Tobag	1990	407
Trinidad and Tobag	1991	405
Trinidad and Tobag	1992	420
Trinidad and Tobag	1993	432
Trinidad and Tobag	1994	440
Trinidad and Tobag	1995	440
Trinidad and Tobag	1996	459
Trinidad and Tobag	1997	459
Trinidad and Tobag	1998	450
Trinidad and Tobag	1999	459
Barbados	1966	32
Barbados	1977	106
Barbados	1978	106
Barbados	1979	106
Barbados	1980	106
Barbados	1981	106
Barbados	1982	184
Barbados	1983	198
Barbados	1984	214
Barbados	1985	214
Barbados	1986	219
Barbados	1987	254
Barbados	1988	267
Barbados	1989	284
Barbados	1990	303
Barbados	1991	304
Barbados	1992	312
Barbados	1993	321
Barbados	1994	331
Barbados	1995	333
Barbados	1996	349
Barbados	1997	346
Barbados	1998	344
Barbados	1999	348
Dominica	1978	28
Dominica	1979	28
Dominica	1980	28
Dominica	1981	28
Dominica	1982	68
Dominica	1983	74
Dominica	1984	86
Dominica	1985	86
Dominica	1986	94
Dominica	1987	97
Dominica	1988	116
Dominica	1989	116
Dominica	1990	129
Dominica	1991	131
Dominica	1992	133
Dominica	1993	139
Dominica	1994	149
Dominica	1995	150
Dominica	1996	160
Dominica	1997	163
Dominica	1998	166
Dominica	1999	164
Grenada	1966	11
Grenada	1977	32
Grenada	1978	32
Grenada	1979	32
Grenada	1980	32
Grenada	1981	32
Grenada	1982	71
Grenada	1983	80
Grenada	1984	91
Grenada	1985	91
Grenada	1986	96
Grenada	1987	106
Grenada	1988	117
Grenada	1989	120
Grenada	1990	132
Grenada	1991	134
Grenada	1992	139
Grenada	1993	138
Grenada	1994	143
Grenada	1995	146
Grenada	1996	155
Grenada	1997	154
Grenada	1998	153
Grenada	1999	148
St. Lucia	1979	36
St. Lucia	1980	36
St. Lucia	1981	36
St. Lucia	1982	70
St. Lucia	1983	78
St. Lucia	1984	92
St. Lucia	1985	92
St. Lucia	1986	99
St. Lucia	1987	112
St. Lucia	1988	135
St. Lucia	1989	140
St. Lucia	1990	152
St. Lucia	1991	154
St. Lucia	1992	156
St. Lucia	1993	172
St. Lucia	1994	184
St. Lucia	1995	182
St. Lucia	1996	189
St. Lucia	1997	192
St. Lucia	1998	190
St. Lucia	1999	184
St. Vincent and th	1979	26
St. Vincent and th	1980	26
St. Vincent and th	1981	26
St. Vincent and th	1982	54
St. Vincent and th	1983	57
St. Vincent and th	1984	75
St. Vincent and th	1985	75
St. Vincent and th	1986	79
St. Vincent and th	1987	84
St. Vincent and th	1988	103
