"year","ingo_uia","ccode","polity2","xrcomp","xropen","xconst","parcomp","physint","disap","kill","polpris","tort","injud","amnesty","pop","gdppc","rentspc","military","execrlc","trade_gdp","fdi_net_in","public_trial","fair_trial","final_decision","legislative_ck","structad","imfstruct","wbimfstruct","britcol","common","hr_law","cat_ratify","cpr_ratify","ythblgap","latent","cwar","iwar","ainr_lag","aibr_lag","avmdia_lag","hro_shaming_lag","physint_lag","amnesty_lag","disap_lag","kill_lag","polpris_lag","tort_lag","latent_lag"
1981,1106,2,10,3,4,7,5,8,2,2,2,2,2,1,233253.2,13313.43,1381.80151367188,0,1,20.0721702575684,0.811585783958435,2,2,0,0,0,0,0,1,1,0,0,0,23.2999992370605,2.09063723698037,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,1505,2,10,3,4,7,5,8,2,2,2,2,2,1,235660.6,13704.03,1226.919921875,0,1,18.1677360534668,0.386467128992081,2,2,0,0,0,0,0,1,1,0,0,0,22.7999992370605,2.11764759241704,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.09063723698037
1983,1528,2,10,3,4,7,5,8,2,2,2,2,2,1,238116.7,14736.47,1005.82574462891,0,1,17.2688121795654,0.298554271459579,2,2,0,0,0,0,0,1,1,0,0,0,22.2000007629395,2.09299667651559,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.11764759241704
1984,1593,2,10,3,4,7,5,8,2,2,2,2,2,1,240589,16221.44,956.760314941406,0,1,18.1391658782959,0.63480669260025,2,2,0,0,0,0,0,1,1,0,0,0,21.6000003814697,2.00212836408717,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.09299667651559
1985,1593,2,10,3,4,7,5,7,2,2,2,1,2,1,243055.6,17228.98,876.597961425781,0,1,17.1860065460205,0.478159040212631,2,2,0,0,0,0,0,1,1,0,0,0,21.1000003814697,1.81328587586661,0,0,NA,NA,NA,NA,8,1,2,2,2,2,2.00212836408717
1986,804,2,10,3,4,7,5,7,2,2,2,1,2,1,245505.5,18034.63,532.792724609375,0,1,17.473445892334,0.800429403781891,2,2,0,0,0,0,0,1,1,0,0,0,20.5,1.68152285787719,0,0,NA,NA,NA,NA,7,1,2,2,2,1,1.81328587586661
1987,1579,2,10,3,4,7,5,8,2,2,2,2,2,2,247949.3,18963.55,516.149230957031,0,1,18.5681762695312,1.2443550825119,2,2,0,0,0,0,0,1,1,0,0,0,20,1.60275184295612,0,0,0,6,3.5,NA,7,1,2,2,2,1,1.68152285787719
1988,1832,2,10,3,4,7,5,7,2,2,2,1,2,1,250413.1,20222.18,401.991088867188,0,1,19.7139415740967,1.14059937000275,2,2,0,0,0,0,0,1,1,0,0,0,19.3999996185303,1.59636731693787,0,0,2,17,2.5,NA,8,2,2,2,2,2,1.60275184295612
1989,1933,2,10,3,4,7,5,7,2,2,2,1,2,1,252934.3,21514.28,421.8232421875,0,1,20.1132411956787,1.25466477870941,2,2,0,0,0,0,0,1,1,0,0,0,18.8999996185303,1.56035427511211,0,0,0,15,0.5,NA,7,1,2,2,2,1,1.59636731693787
1990,2008,2,10,3,4,7,5,8,2,2,2,2,2,1,255539,22530.02,467.556579589844,0,1,20.5501842498779,0.843187034130096,2,2,0,0,0,0,0,1,1,0,0,0,18.3999996185303,1.50264031493229,0,0,1,28,1.5,NA,7,1,2,2,2,1,1.56035427511211
