country	year	idcode	hrai	hrsd	lagus	lagun	civilwar25	laghrsd	hrsd4	hrsd3	hrsd2	hrsd1	coldwar	lagusaid2	lagttrade2	ustotal2	lagpopgled	laggdpgpc	laggdpchng	dissent	lagdemo	lagusdemo	lagundemo	lagtotsancdemo	lagtotsanc
Canada	1976	20	1	1	NA	NA	0	NA	NA	NA	NA	NA	1	NA	NA	NA	10.0494	9.71935	NA	0	NA	NA	NA	NA	NA
Canada	1977	20	1	1	0	0	0	1	0	0	0	1	1	0	24.9062	24.5259	10.0626	9.76415	5.2	0	1	0	0	1	1
Canada	1978	20	1	1	0	0	0	1	0	0	0	1	1	0	25.0589	24.64	10.0743	9.77917	3.4	0	1	0	0	0	0
Canada	1979	20	1	1	0	0	0	1	0	0	0	1	1	0	25.1175	24.7087	10.0843	9.81035	3.9	0	1	0	0	0	0
Canada	1980	20	1	1	0	0	0	1	0	0	0	1	1	0	25.2166	24.8053	10.0942	9.85303	3.8	0	1	0	0	1	1
Canada	1981	20	1	1	0	0	0	1	0	0	0	1	1	0	25.4035	24.9958	10.1071	9.85138	2.1	0	1	0	0	0	0
Canada	1982	20	1	1	0	0	0	1	0	0	0	1	1	0	25.5289	25.0618	10.1194	9.88059	3	1	1	0	0	0	0
Canada	1983	20	1	1	0	0	0	1	0	0	0	1	1	0	25.6205	25.1634	10.1313	9.81776	-2.9	2	1	0	0	0	0
Canada	1984	20	1	1	0	0	0	1	0	0	0	1	1	0	25.5258	25.0033	10.1412	9.84061	2.8	0	1	0	0	0	0
Canada	1985	20	1	1	0	0	0	1	0	0	0	1	1	0	25.623	25.1355	10.1506	9.89725	5.9	0	1	0	0	0	0
Canada	1986	20	1	1	0	0	0	1	0	0	0	1	1	0	25.7969	25.32	10.1598	9.93789	4.8	0	1	0	0	0	0
Canada	1987	20	1	1	0	0	0	1	0	0	0	1	1	0	25.8136	25.3415	10.1697	9.95243	2.4	1	1	0	0	0	0
Canada	1988	20	1	1	0	0	0	1	0	0	0	1	1	0	25.8351	25.3383	10.183	9.98654	4.2	0	1	0	0	0	0
Canada	1989	20	1	1	0	0	0	1	0	0	0	1	1	0	25.9187	25.5061	10.1961	10.0271	5	0	1	0	0	0	0
Canada	1990	20	1	1	0	0	0	1	0	0	0	1	1	0	26.0983	25.6659	10.2141	10.036	2.5	5	1	0	0	0	0
Canada	1991	20	1	1	0	0	0	1	0	0	0	1	0	0	26.1454	25.7525	10.2292	10.0146	0.2	0	1	0	0	0	0
Canada	1992	20	1	1	0	0	0	1	0	0	0	1	0	0	26.2033	25.7872	10.2411	9.97395	-2.1	0	1	0	0	0	0
Canada	1993	20	1	1	0	0	0	1	0	0	0	1	0	0	26.2021	25.7995	10.2533	9.96708	0.9	0	1	0	0	0	0
